Facility ID,casemixindex,cases,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating,Total Number of Discharges,Sum Predicted Readmissions,Sum Expected Readmissions,Total Excess Readmission Ratio
50047,2.5671,"3,642",0.942519,0.989866,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,835,157.247535,153.926584,1.0216
50055,1.6676,"1,494",0.936485,0.972547,1,Voluntary non-profit - Church,Voluntary non-profit,Church,5,304,57.957818,56.421806,1.0272
50056,2.1929,"2,642",1.02408,0.990655,0,Government - Hospital District or Authority,Government,Hospital District or Authority,1,637,120.706104,114.086047,1.058
50057,1.9764,"5,560",0.969905,0.96889,2,Government - Hospital District or Authority,Government,Hospital District or Authority,3,2440,421.491106,426.229709,0.9889
50058,2.0005,"1,728",1.104509,1.125935,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,810,175.673787,168.007981,1.0456
50060,2.1558,"6,948",1.006049,1.016628,0,Voluntary non-profit - Private,Voluntary non-profit,Private,1,1664,325.765952,303.672409,1.0728
50063,2.0058,"2,393",1.09811,1.069598,0,Proprietary,Proprietary,,2,683,140.754985,135.651747,1.0376
50069,2.3668,"3,536",1.007556,0.992638,0,Voluntary non-profit - Church,Voluntary non-profit,Church,3,919,172.450364,180.681916,0.9544
50075,1.8025,"1,622",0.951573,0.944754,3,Voluntary non-profit - Private,Voluntary non-profit,Private,2,234,49.02669,47.748108,1.0268
50078,1.5681,945,0.989215,1.019758,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,194,34.503158,34.3455,1.0046
50082,1.9163,"4,445",0.97566,0.990471,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1241,266.727411,249.104088,1.0707
50084,2.3435,"4,032",0.973148,0.954687,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1134,216.885613,206.796752,1.0488
50091,1.7492,434,1.080875,1.086272,0,Proprietary,Proprietary,,,120,29.806102,27.708594,1.0757
50093,1.8732,"6,927",0.949431,0.958479,2,Voluntary non-profit - Church,Voluntary non-profit,Church,2,2816,522.138922,486.746309,1.0727
