Facility ID,casemixindex,cases,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,Hospital Ownership,Hospital Ownership2,Ownership 3,Hospital overall rating,Total Number of Discharges,Sum Predicted Readmissions,Sum Expected Readmissions,Total Excess Readmission Ratio
100204,1.9402,"9,274",1.006638,0.960452,2,Proprietary,Proprietary,,2,3399,553.472444,542.728732,1.0198
100206,1.5669,"1,153",0.987076,0.995387,0,Proprietary,Proprietary,,3,314,63.11909,61.816187,1.0211
100209,2.049,"2,013",1.048872,1.049209,0,Proprietary,Proprietary,,2,623,126.973915,124.35007,1.0211
100211,1.6774,850,1.063295,1.024294,0,Proprietary,Proprietary,,3,78,17.273568,16.831386,1.0263
100212,1.7528,"10,310",1.008929,0.965818,2,Proprietary,Proprietary,,2,4121,578.10296,542.703075,1.0652
100213,1.9483,"4,351",1.024381,1.023485,0,Proprietary,Proprietary,,1,1642,242.635802,237.859378,1.0201
100217,1.761,"1,715",0.986377,1.018069,0,Proprietary,Proprietary,,2,723,127.441707,126.621114,1.0065
100220,1.8945,"8,628",1.011706,0.977738,1,Government - Hospital District or Authority,Government,Hospital District or Authority,4,2632,432.541743,441.384367,0.98
100223,1.977,"4,105",1.001487,1.037053,0,Proprietary,Proprietary,,4,1391,256.996463,256.699437,1.0012
100224,1.6323,"1,594",1.082385,1.069032,0,Proprietary,Proprietary,,1,474,96.546315,94.480534,1.0219
100226,1.9296,"4,586",0.984088,1.029895,0,Voluntary non-profit - Other,Voluntary non-profit,Other,2,1338,280.645519,286.725184,0.9788
100228,1.9838,"2,959",1.063997,1.067682,0,Proprietary,Proprietary,,2,824,183.510956,168.137092,1.0914
100230,1.6741,"1,045",0.990271,0.954752,3,Government - Hospital District or Authority,Government,Hospital District or Authority,3,270,52.26706,52.153887,1.0022
100231,1.7287,"5,831",0.981711,1.025377,0,Proprietary,Proprietary,,3,2083,353.500997,340.780862,1.0373
100232,1.6084,"1,943",0.962309,1.00062,0,Proprietary,Proprietary,,2,838,190.637528,177.394585,1.0747
100236,1.9919,"4,185",1.014779,1.009049,0,Proprietary,Proprietary,,1,1928,315.798376,306.869904,1.0291
100238,1.866,"2,560",1.031664,1.011643,0,Proprietary,Proprietary,,1,771,171.948907,158.722137,1.0833
100242,1.7825,"4,113",1.045541,1.029113,0,Proprietary,Proprietary,,3,1452,236.94529,243.557008,0.9729
100243,1.8883,"3,972",0.97691,0.943384,3,Proprietary,Proprietary,,3,1458,322.66862,282.922754,1.1405
100244,1.6278,"5,055",1.027722,0.955158,3,Government - Hospital District or Authority,Government,Hospital District or Authority,4,1705,324.326555,331.584879,0.9781
100246,2.0877,"4,276",1.088677,1.080529,0,Proprietary,Proprietary,,1,1172,244.451292,213.90875,1.1428
100248,2.131,"3,600",1.068246,1.066201,0,Proprietary,Proprietary,,2,1105,243.215775,223.485594,1.0883
100249,1.697,"2,399",0.995204,0.943498,3,Voluntary non-profit - Private,Voluntary non-profit,Private,2,1244,170.489809,168.782784,1.0101
100252,1.4542,"1,154",0.90461,0.939213,4,Proprietary,Proprietary,,3,522,113.508186,109.301616,1.0385
100254,1.6726,"3,266",1.003454,1.013345,0,Proprietary,Proprietary,,1,820,173.067459,154.966254,1.1168
100256,1.9826,"4,394",1.005399,0.999869,0,Proprietary,Proprietary,,1,1160,237.485074,221.586559,1.0717
100258,2.0803,"7,706",1.06596,1.019519,0,Proprietary,Proprietary,,2,2376,455.220915,440.891587,1.0325
100259,1.4655,"2,417",0.977127,0.941194,3,Proprietary,Proprietary,,2,862,165.648062,161.161325,1.0278
100260,1.6237,"3,802",0.996228,0.997078,0,Proprietary,Proprietary,,1,2205,302.704197,245.544276,1.2328
100264,1.6615,"5,514",1.006245,1.004887,0,Proprietary,Proprietary,,2,2164,378.131292,363.641849,1.0398
100265,1.6818,"4,629",1.038607,1.007539,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1567,271.373918,295.980695,0.9169
100266,1.7334,"1,276",0.907916,0.931982,4,Voluntary non-profit - Other,Voluntary non-profit,Other,5,709,87.005205,88.827167,0.9795
100267,1.4735,"1,634",0.993127,0.97118,2,Proprietary,Proprietary,,3,587,99.637171,99.082871,1.0056
100268,1.533,"1,577",1.062178,1.014212,0,Proprietary,Proprietary,,2,486,95.271188,90.826582,1.0489
100269,1.793,"1,797",1.001745,0.962984,2,Proprietary,Proprietary,,2,335,66.14686,63.069725,1.0488
100275,1.7938,"2,458",1.021701,0.970688,2,Proprietary,Proprietary,,1,780,138.603549,129.527204,1.0701
100276,1.7119,"1,616",1.052138,1.057192,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,355,64.904609,62.932729,1.0313
100281,1.7962,"2,989",1.016229,1.029908,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,965,202.99839,193.310648,1.0501
100285,1.5163,719,1.020883,0.932014,4,Government - Hospital District or Authority,Government,Hospital District or Authority,4,171,29.684313,30.9193,0.9601
100286,1.7791,"6,276",0.963665,0.965372,2,Proprietary,Proprietary,,2,2215,349.509862,329.196451,1.0617
100287,1.7476,"2,571",1.043919,1.000641,0,Proprietary,Proprietary,,1,682,124.060402,121.01483,1.0252
100288,2.0376,"1,582",1.086625,1.044737,0,Proprietary,Proprietary,,2,124,21.875492,21.542536,1.0155
100289,2.3452,"3,924",0.945453,0.948858,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1226,172.729155,168.97395,1.0222
100290,1.5484,"5,219",1.044472,1.005474,0,Voluntary non-profit - Private,Voluntary non-profit,Private,1,2656,421.302537,421.335473,0.9999
100291,1.987,"1,205",1.042365,1.071834,0,Proprietary,Proprietary,,2,330,24.805752,23.539614,1.0538
100292,1.825,"1,283",0.95774,0.990135,0,Voluntary non-profit - Other,Voluntary non-profit,Other,4,409,72.459547,70.924083,1.0216
100296,1.635,"1,252",1.060832,1.009874,0,Voluntary non-profit - Other,Voluntary non-profit,Other,4,362,63.597872,62.716271,1.0141
100299,1.8756,"2,400",1.027025,1.023226,0,Proprietary,Proprietary,,4,650,118.055653,122.849846,0.961
100302,1.48,"1,145",1.029157,0.999634,0,Proprietary,Proprietary,,1,344,70.24369,69.578375,1.0096
100307,1.9995,"1,922",0.97621,0.966131,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,653,118.512484,122.731198,0.9656
100314,1.6432,"1,145",0.980399,1.008606,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,461,84.297057,85.170369,0.9897
100315,1.4672,"1,986",0.991011,1.055504,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,454,77.183717,83.2738,0.9269
100316,1.4675,"1,983",0.995432,0.99317,0,Proprietary,Proprietary,,4,663,122.180999,131.247923,0.9309
100319,1.7232,"2,176",0.965823,0.964094,2,Voluntary non-profit - Private,Voluntary non-profit,Private,5,560,101.192673,103.158119,0.9809
100320,1.5169,720,0.931975,0.913537,5,Proprietary,Proprietary,,2,210,45.78811,43.006598,1.0647
100321,1.6812,"2,252",0.946076,0.955631,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,907,171.495901,178.256617,0.9621
100329,1.5411,983,1.003879,0.956976,2,Proprietary,Proprietary,,2,173,32.288649,32.277727,1.0003
110001,1.773,"2,594",0.938503,0.976921,1,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1066,197.514532,203.547881,0.9704
110002,1.7405,861,1.052042,0.981903,1,Voluntary non-profit - Other,Voluntary non-profit,Other,2,290,46.581467,44.23555,1.053
110003,1.7138,"1,566",0.974355,0.986166,1,Voluntary non-profit - Private,Voluntary non-profit,Private,3,688,136.17958,128.56874,1.0592
110005,1.831,"4,326",0.959711,0.988854,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2071,275.520042,291.29943,0.9458
110006,2.029,"2,145",0.955661,0.969873,2,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1512,129.407294,134.880508,0.9594
110007,1.8387,"3,921",0.954382,0.937534,4,Government - Hospital District or Authority,Government,Hospital District or Authority,2,1387,252.42633,245.509487,1.0282
110008,1.8201,"3,947",0.97768,0.953096,3,Voluntary non-profit - Other,Voluntary non-profit,Other,4,1167,204.719074,211.794216,0.9666
110010,2.6229,"6,805",0.963275,0.955549,3,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1524,237.051503,235.916816,1.0048
110011,1.7952,"2,538",1.019927,1.004241,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,840,156.546068,147.910968,1.0584
110015,1.6452,877,0.961417,0.94579,3,Government - Hospital District or Authority,Government,Hospital District or Authority,2,322,55.141427,55.372543,0.9958
110016,1.6281,"2,136",1.014051,0.977953,1,Voluntary non-profit - Private,Voluntary non-profit,Private,2,761,149.478684,138.960915,1.0757
110018,1.6513,"1,192",1.039887,0.970888,2,Voluntary non-profit - Private,Voluntary non-profit,Private,2,457,78.671622,80.944108,0.9719
110023,1.9186,"1,266",0.911216,0.951545,3,Voluntary non-profit - Church,Voluntary non-profit,Church,2,480,96.589905,100.422355,0.9618
110024,1.6906,"1,915",1.051846,1.07647,0,Voluntary non-profit - Other,Voluntary non-profit,Other,2,486,84.298953,87.385212,0.9647
110025,1.8383,"3,557",0.910341,0.939587,4,Government - Hospital District or Authority,Government,Hospital District or Authority,2,1440,222.139104,219.378411,1.0126
110027,1.3776,564,0.972221,0.969712,2,Voluntary non-profit - Private,Voluntary non-profit,Private,2,260,45.724264,44.123486,1.0363
110028,1.9425,"6,414",1.003139,1.005512,0,Government - Hospital District or Authority,Government,Hospital District or Authority,2,2959,465.408816,455.938639,1.0208
110029,2.0428,"10,551",0.94834,0.953867,3,Government - Local,Government,Local,4,4384,716.049122,740.514011,0.967
110030,1.7127,"1,869",0.935172,0.952684,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,700,146.977276,139.791843,1.0514
110031,1.8252,"1,464",1.076587,1.035131,0,Proprietary,Proprietary,,1,671,115.076087,115.019692,1.0005
110032,1.526,483,0.921806,0.851171,9,Government - Hospital District or Authority,Government,Hospital District or Authority,2,165,29.825808,28.755624,1.0372
110034,2.3897,"3,622",1.0578,1.081327,0,Voluntary non-profit - Other,Voluntary non-profit,Other,2,675,130.874304,129.981832,1.0069
110035,2.0981,"8,797",0.966194,0.968214,2,Government - Hospital District or Authority,Government,Hospital District or Authority,4,3023,517.034512,535.26509,0.9659
110036,2.2814,"5,898",1.035222,1.032119,0,Voluntary non-profit - Other,Voluntary non-profit,Other,3,1366,235.622224,238.464272,0.9881
110038,1.9206,"2,389",0.97094,1.003057,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1080,180.677151,177.237482,1.0194
110041,1.5239,456,0.909973,0.849947,9,Government - Hospital District or Authority,Government,Hospital District or Authority,2,135,19.949625,20.7819,0.96
110042,1.5657,"2,389",0.915345,0.888748,7,Voluntary non-profit - Other,Voluntary non-profit,Other,4,957,195.972177,182.579709,1.0734
110043,2.0576,"3,292",1.035338,1.052159,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1446,167.815402,168.506963,0.9959
110044,1.6758,448,0.97126,0.853465,9,Government - Hospital District or Authority,Government,Hospital District or Authority,2,56,14.022344,13.438264,1.0435
110046,1.6559,986,0.961059,0.959026,2,Proprietary,Proprietary,,3,270,46.37576,49.913312,0.9291
110051,1.4692,994,0.975005,1.03875,0,Government - Hospital District or Authority,Government,Hospital District or Authority,4,391,65.741055,68.997555,0.9528
110054,1.7559,"3,462",1.019578,1.020916,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,1286,259.425259,252.837792,1.0261
110064,2.1909,"2,875",1.080796,1.156427,0,Voluntary non-profit - Other,Voluntary non-profit,Other,3,608,123.80307,123.305764,1.004
110069,1.6176,"3,476",1.011239,0.954424,3,Voluntary non-profit - Private,Voluntary non-profit,Private,2,1429,273.716628,267.7787,1.0222
110074,1.9711,"5,786",0.965648,0.940251,3,Voluntary non-profit - Other,Voluntary non-profit,Other,4,2135,409.044487,418.191463,0.9781
110075,1.8336,"1,754",1.064575,0.988384,0,Proprietary,Proprietary,,3,696,130.338776,132.152408,0.9863
110076,1.8239,"2,623",1.004688,0.996885,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,757,141.593632,140.901159,1.0049
110078,2.5806,"4,198",0.9769,0.977242,1,Voluntary non-profit - Private,Voluntary non-profit,Private,2,849,162.197825,161.947888,1.0015
110079,2.0399,"3,737",0.936089,0.951531,3,Voluntary non-profit - Private,Voluntary non-profit,Private,1,526,119.295146,106.577547,1.1193
110082,2.2709,"4,895",0.948296,0.926323,4,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1730,296.943904,293.188341,1.0128
110083,2.6579,"7,409",0.956878,0.933077,4,Voluntary non-profit - Private,Voluntary non-profit,Private,4,2242,350.151187,369.851037,0.9467
110087,2.0319,"5,568",0.985141,0.99379,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,1759,330.958457,347.61266,0.9521
110089,1.6161,"1,101",1.008339,0.976314,1,Government - Hospital District or Authority,Government,Hospital District or Authority,1,427,88.00789,81.258819,1.0831
110091,1.6833,"1,740",0.973934,0.929618,4,Proprietary,Proprietary,,2,557,101.100685,104.971202,0.9631
110092,1.6128,283,1.097188,1.010378,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,70,11.67173,11.4632,1.0182
110095,1.7115,"2,029",0.970115,0.949708,3,Government - Hospital District or Authority,Government,Hospital District or Authority,2,766,143.531031,138.155517,1.0389
110104,1.6625,690,0.897149,0.853494,9,Government - Hospital District or Authority,Government,Hospital District or Authority,3,191,36.655536,36.843282,0.9949
110105,1.5399,"1,380",0.969775,0.924244,5,Government - Hospital District or Authority,Government,Hospital District or Authority,3,444,88.171663,81.521894,1.0816
110107,2.2812,"5,064",1.02567,1.027938,0,Government - Hospital District or Authority,Government,Hospital District or Authority,1,2030,350.993295,332.422348,1.0559
110109,1.3439,251,0.912125,0.854055,9,Government - Hospital District or Authority,Government,Hospital District or Authority,5,52,11.498708,11.585028,0.9925
110115,2.1523,"1,544",1.021871,1.058314,0,Proprietary,Proprietary,,,376,76.669231,73.538658,1.0426
110122,1.8069,"3,884",0.984884,0.968777,2,Government - Hospital District or Authority,Government,Hospital District or Authority,2,1450,292.111524,283.887373,1.029
110124,1.4312,671,0.973682,1.026578,0,Government - Hospital District or Authority,Government,Hospital District or Authority,1,320,37.078011,36.76502,1.0085
110125,1.7724,"1,722",0.940841,0.965971,2,Proprietary,Proprietary,,5,614,124.663304,123.313744,1.0109
110128,1.5642,735,0.931701,0.967789,2,Proprietary,Proprietary,,3,234,43.937806,47.90779,0.9171
110129,1.9528,"2,866",1.028321,1.074725,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1404,237.055193,247.148636,0.9592
110143,1.8621,"3,495",0.980818,0.972287,1,Voluntary non-profit - Other,Voluntary non-profit,Other,3,759,148.976553,150.807206,0.9879
110150,1.6148,664,0.956256,0.944903,3,Proprietary,Proprietary,,1,309,60.698346,60.072238,1.0104
110153,1.4086,517,0.942811,0.968728,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,162,29.599521,29.110185,1.0168
110161,2.0405,"3,950",0.967698,0.963712,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1003,140.277472,139.274734,1.0072
110164,1.9501,"2,728",0.999707,0.996397,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1010,198.978482,188.063948,1.058
110165,1.9648,771,0.930125,0.940939,3,Voluntary non-profit - Private,Voluntary non-profit,Private,2,118,26.44734,27.81496,0.9508
110168,2.0037,"4,166",0.927707,0.927829,4,Proprietary,Proprietary,,5,1765,353.452226,362.648528,0.9746
110177,2.3049,"2,928",0.985608,0.96494,2,Proprietary,Proprietary,,3,982,145.407791,139.403124,1.0431
110184,1.7358,"1,596",0.938682,0.942979,3,Voluntary non-profit - Private,Voluntary non-profit,Private,4,726,134.434042,137.821426,0.9754
110189,1.5341,297,0.985968,0.938863,4,Proprietary,Proprietary,,1,137,23.47191,23.03714,1.0189
110191,1.814,"3,324",0.977758,0.944816,3,Government - Hospital District or Authority,Government,Hospital District or Authority,2,947,197.704907,183.681209,1.0763
110192,1.7801,"1,795",1.007445,0.96762,2,Proprietary,Proprietary,,2,573,108.686786,108.987685,0.9972
110198,1.9257,"2,018",1.039102,1.019834,0,Proprietary,Proprietary,,2,577,100.985516,94.487496,1.0688
110200,1.8687,"1,096",1.005557,0.981082,1,Proprietary,Proprietary,,4,413,30.858253,30.018856,1.028
110201,1.6323,704,0.967215,0.934797,4,Proprietary,Proprietary,,5,164,28.248146,27.478369,1.028
110215,1.7877,"4,247",0.952812,0.976065,1,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1655,282.35564,277.752261,1.0166
110225,1.6445,"1,368",0.90574,0.883689,7,Voluntary non-profit - Other,Voluntary non-profit,Other,5,562,97.187339,101.259845,0.9598
110226,1.5799,759,0.966771,0.882809,7,Government - Hospital District or Authority,Government,Hospital District or Authority,3,105,21.986475,22.65522,0.9705
110229,1.8471,"2,584",0.973922,0.941933,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,960,183.528246,175.425683,1.0462
110230,1.7098,"1,966",0.924761,0.944322,3,Proprietary,Proprietary,,3,618,89.829188,93.757791,0.9581
120001,2.1727,"6,020",0.963533,0.95936,2,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1382,228.037754,246.324146,0.9258
120002,1.8346,"1,418",0.869075,0.9105,5,Government - State,Government,State,3,302,50.713984,51.578987,0.9832
120005,1.6812,"1,735",0.893975,0.897965,6,Government - State,Government,State,4,635,106.895148,107.313789,0.9961
120006,1.8621,"1,376",0.922596,0.909225,5,Voluntary non-profit - Church,Voluntary non-profit,Church,5,402,72.706182,69.84999,1.0409
120007,2.1275,916,0.99218,1.007147,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,359,52.008784,55.654015,0.9345
120014,1.5806,593,0.902596,0.922798,5,Government - Federal,Government,Federal,3,184,27.880576,27.548566,1.0121
120019,1.551,617,0.916758,0.851767,9,Government - State,Government,State,2,187,29.315837,28.374207,1.0332
120022,2.4208,"1,927",0.9741,1.002452,0,Proprietary,Proprietary,,5,636,87.98334,98.491422,0.8933
120026,2.003,"1,827",0.918794,0.936354,4,Proprietary,Proprietary,,5,710,125.90365,124.630232,1.0102
120028,1.671,328,0.90813,0.868799,8,Voluntary non-profit - Private,Voluntary non-profit,Private,3,42,8.529192,7.96278,1.0711
130002,1.8072,"2,483",0.922539,0.949161,3,Voluntary non-profit - Private,Voluntary non-profit,Private,4,966,148.014539,157.448204,0.9401
130003,2.1265,"1,380",0.995981,0.982099,1,Voluntary non-profit - Private,Voluntary non-profit,Private,3,594,106.844294,108.104129,0.9883
130006,2.0739,"5,297",0.932097,0.934958,4,Voluntary non-profit - Private,Voluntary non-profit,Private,5,1985,241.740922,272.627607,0.8867
130007,2.1196,"3,731",0.973871,1.04071,0,Voluntary non-profit - Church,Voluntary non-profit,Church,3,1123,134.235487,146.6678,0.9152
130013,1.6207,"1,226",0.922834,0.95523,3,Voluntary non-profit - Church,Voluntary non-profit,Church,3,351,62.571514,69.427586,0.9012
130014,1.8911,623,0.928701,0.882658,7,Proprietary,Proprietary,,5,172,30.964968,32.124716,0.9639
130018,2.2328,"3,003",1.000298,0.976592,1,Proprietary,Proprietary,,4,838,119.270419,131.781221,0.9051
130028,2.1194,"2,100",0.997739,0.981613,1,Proprietary,Proprietary,,4,504,75.762425,83.700177,0.9052
130071,1.6091,891,0.916854,0.923552,5,Voluntary non-profit - Private,Voluntary non-profit,Private,4,217,39.424728,40.9256,0.9633
140001,1.4061,769,0.899924,0.951051,3,Voluntary non-profit - Private,Voluntary non-profit,Private,3,319,54.204258,51.44934,1.0535
140002,1.6033,"2,141",0.9382,0.936378,4,Voluntary non-profit - Private,Voluntary non-profit,Private,4,785,158.463734,149.330523,1.0612
140007,1.7926,"5,189",1.104646,1.094605,0,Voluntary non-profit - Church,Voluntary non-profit,Church,2,2131,411.574316,395.839657,1.0398
140008,1.7463,"1,837",1.006496,0.991459,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,666,129.576579,133.196247,0.9728
140011,1.5768,"3,052",0.968977,0.995764,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,1157,259.462856,229.210135,1.132
140012,1.4595,"1,044",0.889279,0.939088,4,Voluntary non-profit - Private,Voluntary non-profit,Private,3,495,86.503891,88.73386,0.9749
140013,1.5726,"1,157",0.909421,0.915109,5,Voluntary non-profit - Private,Voluntary non-profit,Private,5,609,111.415773,108.762159,1.0244
140015,1.8215,"5,521",0.958359,0.977554,1,Voluntary non-profit - Private,Voluntary non-profit,Private,4,2306,471.332637,445.972701,1.0569
140018,1.9502,"1,084",0.995184,0.927145,4,Voluntary non-profit - Private,Voluntary non-profit,Private,1,285,65.461328,62.907347,1.0406
140029,1.7852,"3,503",1.058029,1.056207,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1612,221.723159,219.657652,1.0094
140030,1.8441,"3,851",1.025635,1.00606,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1479,277.548008,274.263687,1.012
140032,1.4986,"1,516",0.970581,0.960582,2,Voluntary non-profit - Church,Voluntary non-profit,Church,3,751,143.427187,141.667247,1.0124
140034,1.5057,"1,644",0.948827,0.972269,1,Voluntary non-profit - Church,Voluntary non-profit,Church,3,761,141.005392,149.227213,0.9449
140043,1.5671,"1,659",0.980824,0.99535,0,Government - Local,Government,Local,2,556,96.197873,94.600829,1.0169
140046,1.8281,"2,663",1.019371,1.029593,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,993,186.648226,185.141033,1.0081
140048,1.7259,"3,301",0.956322,0.983723,1,Voluntary non-profit - Other,Voluntary non-profit,Other,2,609,130.649058,124.395702,1.0503
140049,1.8429,977,1.02447,0.997069,0,Voluntary non-profit - Other,Voluntary non-profit,Other,1,287,66.671443,61.819105,1.0785
140052,1.7631,957,0.943082,0.898157,6,Voluntary non-profit - Church,Voluntary non-profit,Church,1,291,57.993117,53.865564,1.0766
140053,2.1817,"5,936",1.028475,1.041967,0,Voluntary non-profit - Church,Voluntary non-profit,Church,3,2557,468.3857,470.633741,0.9952
140054,1.6791,"2,271",1.000718,0.966161,2,Proprietary,Proprietary,,3,615,113.65747,115.889466,0.9807
140059,1.3646,431,1.142717,1.016397,0,Government - Local,Government,Local,2,205,36.634255,35.92251,1.0198
140062,1.7269,"8,699",1.010293,0.989146,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,4335,796.699777,735.215681,1.0836
140063,1.6824,"1,697",0.907215,0.934562,4,Voluntary non-profit - Church,Voluntary non-profit,Church,5,394,79.361324,78.171956,1.0152
140064,1.5672,"1,301",1.012043,1.02461,0,Voluntary non-profit - Church,Voluntary non-profit,Church,2,584,107.661689,100.976238,1.0662
140065,1.7498,"3,147",1.04972,0.994208,0,Voluntary non-profit - Church,Voluntary non-profit,Church,5,1573,221.902165,226.266071,0.9807
140067,2.1139,"9,426",0.973351,0.97239,1,Voluntary non-profit - Private,Voluntary non-profit,Private,2,3364,529.283249,500.219859,1.0581
140080,1.7471,"2,093",1.064376,1.060164,0,Voluntary non-profit - Church,Voluntary non-profit,Church,2,515,108.906014,98.466464,1.106
140082,1.7997,"1,298",1.161858,1.160404,0,Proprietary,Proprietary,,1,490,80.342831,79.114546,1.0155
140084,1.6639,"2,111",1.042941,1.020981,0,Proprietary,Proprietary,,1,861,180.654397,166.904735,1.0824
140088,2.5759,"7,771",1.027037,1.001908,0,Voluntary non-profit - Private,Voluntary non-profit,Private,4,1431,308.024664,298.2166,1.0329
140089,1.5082,494,0.976623,1.039025,0,Government - Hospital District or Authority,Government,Hospital District or Authority,3,304,51.093928,50.443016,1.0129
140091,1.9612,"6,502",0.963747,1.006373,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,2146,397.631705,386.873291,1.0278
140093,1.4678,"1,567",1.020405,1.026788,0,Voluntary non-profit - Church,Voluntary non-profit,Church,1,665,137.170372,125.359553,1.0942
140101,1.6561,"1,674",1.033342,1.015181,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,768,148.030469,144.138649,1.027
140103,1.5321,493,1.022383,1.000046,0,Voluntary non-profit - Church,Voluntary non-profit,Church,1,142,35.654064,32.214764,1.1068
140110,1.4875,"1,339",0.963413,0.985113,1,Voluntary non-profit - Private,Voluntary non-profit,Private,4,551,88.644735,93.170528,0.9514
140113,1.9535,"1,038",1.007894,0.968788,2,Voluntary non-profit - Church,Voluntary non-profit,Church,3,514,91.172232,83.104764,1.0971
140116,1.7603,"6,890",1.011661,1.034998,0,Voluntary non-profit - Other,Voluntary non-profit,Other,5,3435,550.748085,578.043729,0.9528
140117,2.1139,"4,256",1.154142,1.077226,0,Voluntary non-profit - Church,Voluntary non-profit,Church,4,1702,313.71696,315.665304,0.9938
140119,2.373,"8,282",0.960043,0.937949,4,Voluntary non-profit - Private,Voluntary non-profit,Private,5,2357,347.193662,330.761354,1.0497
140120,1.5988,788,0.919254,0.905377,6,Voluntary non-profit - Private,Voluntary non-profit,Private,2,388,74.547054,71.21899,1.0467
140122,1.9347,"2,436",1.055919,1.012398,0,Voluntary non-profit - Private,Voluntary non-profit,Private,5,927,166.360626,172.103535,0.9666
140124,1.769,"1,314",0.928892,0.900522,6,Government - Local,Government,Local,3,272,55.710956,55.004739,1.0128
140125,1.4488,"1,083",0.975157,0.879982,7,Voluntary non-profit - Other,Voluntary non-profit,Other,2,293,61.895301,58.476978,1.0585
140127,1.8147,"2,197",0.954777,0.993679,0,Voluntary non-profit - Church,Voluntary non-profit,Church,5,1103,126.901742,134.322982,0.9448
140130,1.7101,"3,315",0.95118,0.948644,3,Voluntary non-profit - Other,Voluntary non-profit,Other,5,1416,192.295292,197.329902,0.9745
140133,1.4483,"1,078",1.05915,1.016598,0,Voluntary non-profit - Private,Voluntary non-profit,Private,1,417,98.634579,90.642364,1.0882
140135,1.8899,"2,833",0.993723,0.973119,1,Voluntary non-profit - Other,Voluntary non-profit,Other,3,1272,260.316805,247.35691,1.0524
140145,1.4431,368,0.908922,0.869785,8,Voluntary non-profit - Church,Voluntary non-profit,Church,,192,32.564848,33.069472,0.9847
140147,1.4558,483,0.929752,1.053402,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,337,57.478038,58.96762,0.9747
140148,1.9743,"7,010",0.992605,1.023129,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,2661,451.958527,434.25208,1.0408
140150,2.1222,"2,851",1.03816,1.063217,0,Government - State,Government,State,2,344,85.242667,76.213288,1.1185
140155,1.6928,"1,630",0.966715,0.96812,2,Voluntary non-profit - Church,Voluntary non-profit,Church,4,374,65.253276,70.597296,0.9243
140160,1.5376,975,1.019288,1.026652,0,Voluntary non-profit - Other,Voluntary non-profit,Other,4,562,81.719402,83.0084,0.9845
140161,1.4172,863,0.943262,0.952793,3,Voluntary non-profit - Church,Voluntary non-profit,Church,2,377,65.537072,66.102972,0.9914
140162,1.8262,"2,720",0.923946,0.92596,4,Voluntary non-profit - Church,Voluntary non-profit,Church,2,895,150.795478,151.143017,0.9977
140164,1.9515,"3,132",1.064846,1.054867,0,Voluntary non-profit - Private,Voluntary non-profit,Private,3,1317,258.583619,245.688287,1.0525
140166,1.6876,"1,938",0.976157,0.988741,0,Voluntary non-profit - Private,Voluntary non-profit,Private,2,1053,224.550592,211.570154,1.0614
140172,1.7177,"3,343",1.025396,0.984886,1,Voluntary non-profit - Church,Voluntary non-profit,Church,1,1308,297.381787,267.582978,1.1114
140174,1.9106,"1,509",0.988836,0.95979,2,Voluntary non-profit - Church,Voluntary non-profit,Church,5,511,98.661852,97.681443,1.01
