Facility ID,MSPB-1 Baseline Rate,MSPB-1 Performance Rate,MSPB-1 Achievement Points,MSPB-1 Improvement Points
50417,0.866483,0.937147,4,0
50424,0.945531,0.941849,3,0
50425,0.88062,1.005052,0,0
50426,1.048189,1.104217,0,0
50438,1.008736,1.010045,0,0
50441,0.994447,1.001539,0,0
50444,0.964381,0.932246,4,2
50454,0.989862,0.987872,1,0
50455,1.022483,1.056598,0,0
50457,0.928703,0.992435,0,0
50464,0.990419,0.974073,1,1
50468,1.237428,1.10916,0,3
50471,1.061547,1.090179,0,0
50481,1.033327,1.03694,0,0
50485,1.040203,1.057259,0,0
50488,1.074969,1.056027,0,0
50492,1.052952,1.037783,0,0
50496,0.960742,0.973578,1,0
50498,0.905266,0.892422,7,2
50503,0.968609,0.932659,4,2
50506,0.982734,0.978017,1,0
50510,0.866447,1.118979,0,0
50512,0.880455,1.017812,0,0
50515,0.818542,0.917877,5,0
50516,0.953112,0.980845,1,0
50517,1.108042,0.985301,1,4
50523,0.965834,0.990677,0,0
50526,1.111269,1.099483,0,0
50528,0.898973,0.865385,8,6
50534,0.946899,0.922936,5,2
50537,0.930873,0.865486,8,7
50541,0.955936,0.925411,4,2
50549,1.007465,1.018739,0,0
50551,1.08958,1.023432,0,2
50557,0.963989,0.959362,2,0
50561,0.843215,0.941934,3,0
50567,0.965328,0.984908,1,0
50570,1.098895,1.040434,0,2
50573,0.946187,0.987773,1,0
50580,1.16818,1.083473,0,2
50581,1.130107,1.096863,0,1
50586,0.943478,0.976558,1,0
50588,1.184497,1.119248,0,1
50589,1.078145,0.971444,2,4
50590,0.930155,0.9194,5,1
50597,1.181027,1.17931,0,0
50599,0.96731,0.997259,0,0
50603,1.012532,1.033607,0,0
50604,0.900243,0.907837,6,0
50608,0.94634,0.917895,5,2
50609,0.937492,0.849301,9,9
50624,0.991918,1.020752,0,0
50625,1.051396,1.078342,0,0
50633,0.971575,0.930289,4,3
50636,1.005127,1.004104,0,0
50641,1.183239,1.080421,0,3
50663,1.29851,1.269165,0,0
50674,0.95556,0.908591,5,4
50677,0.796296,1.080862,0,0
50678,0.999204,0.99546,0,0
50684,0.947453,1.018935,0,0
50686,0.944705,0.937549,4,0
50689,0.979345,0.928308,4,3
50690,0.807072,0.791004,10,9
50696,1.002186,1.002318,0,0
50701,0.941381,0.989656,0,0
50709,0.949964,0.903,6,4
50710,0.792642,0.958277,2,0
50717,0.837688,1.067312,0,0
50723,0.883249,0.975567,1,0
50724,0.985695,0.981911,1,0
50735,1.246686,1.250499,0,0
50736,1.038028,0.95498,3,4
50737,1.137439,1.128342,0,0
50738,1.403614,1.215915,0,3
50739,1.069941,1.033164,0,1
50740,1.086568,1.129808,0,0
50745,1.201146,1.097674,0,2
50746,1.113601,1.06639,0,1
50747,1.383775,1.309965,0,1
50748,0.895264,1.003244,0,0
50755,1.099104,1.096911,0,0
50757,1.071208,1.085479,0,0
50758,1.081086,1.070693,0,0
50760,0.905137,0.906978,6,0
50761,1.024913,1.057894,0,0
50763,1.413338,1.369595,0,0
50764,0.912103,0.954783,3,0
50767,1.01801,0.850016,9,9
50770,0.982464,0.985163,1,0
50771,1.220368,1.163064,0,1
50772,0.933222,0.865886,8,7
50775,0.954709,0.954297,3,0
50776,1.17246,1.179682,0,0
50777,0.885917,0.939524,4,0
50779,0.979908,0.933205,4,3
50782,1.107791,1.127984,0,0
60001,0.990237,1.009746,0,0
60003,1.040835,0.968641,2,3
60004,0.943711,0.970883,2,0
60006,0.901624,0.94696,3,0
60008,0.954329,0.965973,2,0
60009,0.998182,0.951763,3,3
60010,0.939686,0.954371,3,0
60011,0.905456,0.940778,3,0
60013,0.937681,0.958712,2,0
60014,1.079731,1.072281,0,0
60015,1.008958,1.007471,0,0
60020,1.020302,0.97249,1,2
60022,1.01024,1.023681,0,0
60023,1.022929,1.024321,0,0
60024,0.976118,0.991274,0,0
60027,0.980186,0.964859,2,1
60028,0.955566,0.993362,0,0
60030,1.013488,1.010396,0,0
60031,0.986062,0.995505,0,0
60032,0.977815,1.016674,0,0
60034,1.031889,1.022151,0,0
60044,0.973096,1.01198,0,0
60054,0.960342,1.016926,0,0
60064,0.969412,0.977916,1,0
60065,0.954103,0.972538,1,0
60071,0.920158,0.941175,3,0
60075,1.011737,1.056799,0,0
60076,0.98192,1.00098,0,0
60096,0.920099,1.049521,0,0
60100,0.998829,0.955013,3,2
60103,0.985521,0.926055,4,4
60104,0.940957,0.957246,2,0
60112,0.981466,0.953703,3,2
60113,0.970065,0.993654,0,0
60114,0.978177,0.96335,2,1
60116,0.945056,0.95191,3,0
60119,1.009438,1.050341,0,0
60125,0.926938,0.92826,4,0
60128,1.045088,1.008884,0,1
60131,0.915695,1.051961,0,0
60132,0.998048,1.029562,0,0
70002,1.001713,1.043839,0,0
70003,1.034764,0.969707,2,3
70004,0.908421,0.933074,4,0
70005,0.930236,0.944485,3,0
70006,1.038486,1.070764,0,0
70007,0.983433,0.988459,0,0
70008,0.930775,0.984695,1,0
70010,0.996619,0.99192,0,0
70011,1.01088,1.011533,0,0
70016,1.050565,1.040913,0,0
70017,0.997669,1.006927,0,0
70018,0.971823,0.965045,2,0
70020,0.962207,0.992313,0,0
70021,0.930017,0.977824,1,0
70022,1.007597,1.011611,0,0
70024,1.010038,0.988388,0,1
70025,1.004774,1.042434,0,0
70027,0.943313,0.954513,3,0
70028,1.046655,1.059976,0,0
70029,0.980605,1.034434,0,0
70031,0.989334,1.003897,0,0
70033,1.013534,0.997946,0,0
70034,0.98927,1.027637,0,0
70035,1.020403,1.058465,0,0
70036,1.025192,0.99419,0,1
80001,1.0311,1.041585,0,0
80003,0.987206,0.984229,1,0
80004,1.023026,1.042586,0,0
80006,1.015961,0.990617,0,1
80007,1.00645,1.044361,0,0
80009,1.01897,1.064593,0,0
90001,1.011579,0.997312,0,0
90004,1.018282,1.017563,0,0
90005,0.934183,0.954293,3,0
90008,1.029675,1.029263,0,0
90011,1.006475,1.018532,0,0
100001,0.965728,0.980906,1,0
100002,1.098627,1.083546,0,0
100006,0.989433,1.000825,0,0
100007,1.00212,0.999684,0,0
100008,1.017657,1.039562,0,0
100012,1.002742,0.994528,0,0
100014,0.994906,0.958795,2,2
100017,1.021519,0.974067,1,2
100018,1.030416,1.012297,0,0
100019,1.06192,1.072364,0,0
100022,1.050086,1.116001,0,0
100023,0.952815,0.923523,5,2
100025,1.010429,0.989554,0,1
100026,1.073805,1.067292,0,0
100028,1.018369,0.960847,2,3
100029,1.095521,1.091664,0,0
100030,0.962746,0.944749,3,1
100032,1.110601,1.101607,0,0
100035,1.044822,1.007792,0,1
100038,1.03907,1.063915,0,0
100039,1.088109,1.083344,0,0
100040,0.998352,0.974772,1,1
100043,1.015374,1.00138,0,0
100044,1.05832,1.044258,0,0
100045,1.009492,0.967897,2,2
100046,0.967335,0.944304,3,1
100047,0.96069,1.001095,0,0
100049,0.997569,0.99254,0,0
100050,1.225638,1.227694,0,0
100051,0.951541,0.915115,5,3
100052,1.034395,1.000649,0,1
100053,1.15532,1.154915,0,0
100054,0.9186,0.963249,2,0
100055,1.005377,1.002686,0,0
100057,0.941883,0.91406,5,2
100062,1.063739,1.006956,0,2
100063,1.060932,1.023903,0,1
100067,1.054076,1.02607,0,1
100068,1.010664,0.964167,2,2
100069,0.994384,0.994434,0,0
100070,1.064545,1.096437,0,0
100071,1.03923,1.047902,0,0
100072,0.996338,0.94317,3,3
100073,1.018637,1.038288,0,0
100075,1.024685,0.996445,0,1
100077,1.017253,1.020557,0,0
100080,1.010792,0.971601,2,2
100084,0.99797,0.984308,1,0
100086,1.112761,1.110174,0,0
100087,1.048969,1.029069,0,0
100088,1.01753,0.976937,1,2
100090,0.993,0.998767,0,0
100092,1.041309,0.967061,2,3
100093,0.944624,0.973106,1,0
100105,1.0514,1.058825,0,0
100107,0.962853,0.966135,2,0
100109,0.995524,1.028695,0,0
100110,1.050207,1.0505,0,0
100113,1.014764,1.004417,0,0
100117,0.964463,0.94445,3,1
100118,0.948128,0.914701,5,3
100121,0.971735,0.969837,2,0
100122,1.023095,1.041651,0,0
100124,0.986703,0.966432,2,1
100125,1.030183,1.030184,0,0
100126,1.080316,1.022924,0,2
100127,1.012766,1.013695,0,0
100128,0.981532,0.982799,1,0
100130,1.042663,1.054115,0,0
100131,1.035014,1.013801,0,1
100132,1.036525,1.017422,0,0
100135,1.043431,1.068001,0,0
100140,0.918365,0.866925,8,6
100142,1.107663,1.000166,0,4
100150,0.993488,0.954612,3,2
100151,0.957632,0.950074,3,0
100154,1.011646,1.054715,0,0
100156,0.972073,0.937014,4,2
100157,1.003515,0.971818,2,1
100161,0.968472,1.060718,0,0
100166,1.044639,1.004003,0,2
100167,1.028767,1.025709,0,0
100168,1.030168,1.033109,0,0
100173,1.060368,1.049053,0,0
100176,1.018634,1.005778,0,0
100177,1.006541,1.003413,0,0
100179,1.018132,1.026825,0,0
100180,0.999235,1.032588,0,0
100183,1.149639,1.167208,0,0
100187,1.121957,1.08603,0,1
100189,1.038293,1.062597,0,0
100191,1.016602,0.975899,1,2
100200,1.045532,1.027408,0,0
100204,1.006638,0.960452,2,2
100206,0.987076,0.995387,0,0
100209,1.048872,1.049209,0,0
100211,1.063295,1.024294,0,1
100212,1.008929,0.965818,2,2
100213,1.024381,1.023485,0,0
100217,0.986377,1.018069,0,0
100220,1.011706,0.977738,1,2
100223,1.001487,1.037053,0,0
100224,1.082385,1.069032,0,0
100226,0.984088,1.029895,0,0
100228,1.063997,1.067682,0,0
100230,0.990271,0.954752,3,2
100231,0.981711,1.025377,0,0
100232,0.962309,1.00062,0,0
100236,1.014779,1.009049,0,0
100238,1.031664,1.011643,0,1
100242,1.045541,1.029113,0,0
100243,0.97691,0.943384,3,2
100244,1.027722,0.955158,3,3
100246,1.088677,1.080529,0,0
100248,1.068246,1.066201,0,0
100249,0.995204,0.943498,3,3
100252,0.90461,0.939213,4,0
100254,1.003454,1.013345,0,0
100256,1.005399,0.999869,0,0
100258,1.06596,1.019519,0,2
100259,0.977127,0.941194,3,2
100260,0.996228,0.997078,0,0
100264,1.006245,1.004887,0,0
100265,1.038607,1.007539,0,1
100266,0.907916,0.931982,4,0
100267,0.993127,0.97118,2,1
100268,1.062178,1.014212,0,2
100269,1.001745,0.962984,2,2
100275,1.021701,0.970688,2,2
100276,1.052138,1.057192,0,0
100281,1.016229,1.029908,0,0
100285,1.020883,0.932014,4,5
100286,0.963665,0.965372,2,0
100287,1.043919,1.000641,0,2
100288,1.086625,1.044737,0,1
100289,0.945453,0.948858,3,0
100290,1.044472,1.005474,0,1
100291,1.042365,1.071834,0,0
100292,0.95774,0.990135,0,0
100296,1.060832,1.009874,0,2
100299,1.027025,1.023226,0,0
100302,1.029157,0.999634,0,1
100307,0.97621,0.966131,2,0
100314,0.980399,1.008606,0,0
100315,0.991011,1.055504,0,0
100316,0.995432,0.99317,0,0
100319,0.965823,0.964094,2,0
100320,0.931975,0.913537,5,2
100321,0.946076,0.955631,3,0
100329,1.003879,0.956976,2,2
110001,0.938503,0.976921,1,0
110002,1.052042,0.981903,1,3
110003,0.974355,0.986166,1,0
110005,0.959711,0.988854,0,0
110006,0.955661,0.969873,2,0
110007,0.954382,0.937534,4,1
110008,0.97768,0.953096,3,1
110010,0.963275,0.955549,3,0
110011,1.019927,1.004241,0,0
110015,0.961417,0.94579,3,1
110016,1.014051,0.977953,1,2
110018,1.039887,0.970888,2,3
110023,0.911216,0.951545,3,0
110024,1.051846,1.07647,0,0
110025,0.910341,0.939587,4,0
110027,0.972221,0.969712,2,0
110028,1.003139,1.005512,0,0
110029,0.94834,0.953867,3,0
110030,0.935172,0.952684,3,0
110031,1.076587,1.035131,0,1
110032,0.921806,0.851171,9,9
110034,1.0578,1.081327,0,0
110035,0.966194,0.968214,2,0
110036,1.035222,1.032119,0,0
110038,0.97094,1.003057,0,0
110041,0.909973,0.849947,9,9
110042,0.915345,0.888748,7,3
110043,1.035338,1.052159,0,0
110044,0.97126,0.853465,9,9
110045,0.86499,0.905034,6,0
110046,0.961059,0.959026,2,0
110051,0.975005,1.03875,0,0
110054,1.019578,1.020916,0,0
110064,1.080796,1.156427,0,0
110069,1.011239,0.954424,3,3
110073,0.973425,0.87639,8,7
110074,0.965648,0.940251,3,2
110075,1.064575,0.988384,0,3
110076,1.004688,0.996885,0,0
110078,0.9769,0.977242,1,0
110079,0.936089,0.951531,3,0
110082,0.948296,0.926323,4,2
110083,0.956878,0.933077,4,2
110087,0.985141,0.99379,0,0
110089,1.008339,0.976314,1,1
110091,0.973934,0.929618,4,3
110092,1.097188,1.010378,0,3
110095,0.970115,0.949708,3,1
110104,0.897149,0.853494,9,8
110105,0.969775,0.924244,5,3
110107,1.02567,1.027938,0,0
110109,0.912125,0.854055,9,8
110115,1.021871,1.058314,0,0
110121,0.841848,0.953865,3,0
110122,0.984884,0.968777,2,1
110124,0.973682,1.026578,0,0
110125,0.940841,0.965971,2,0
110128,0.931701,0.967789,2,0
110129,1.028321,1.074725,0,0
110132,0.889488,0.983877,1,0
110142,0.942074,0.875064,8,6
110143,0.980818,0.972287,1,0
110146,0.940598,0.936137,4,0
110150,0.956256,0.944903,3,1
110153,0.942811,0.968728,2,0
110161,0.967698,0.963712,2,0
110164,0.999707,0.996397,0,0
110165,0.930125,0.940939,3,0
110168,0.927707,0.927829,4,0
110177,0.985608,0.96494,2,1
110184,0.938682,0.942979,3,0
110189,0.985968,0.938863,4,3
110191,0.977758,0.944816,3,2
110192,1.007445,0.96762,2,2
110198,1.039102,1.019834,0,0
110200,1.005557,0.981082,1,1
110201,0.967215,0.934797,4,2
110215,0.952812,0.976065,1,0
110225,0.90574,0.883689,7,3
110226,0.966771,0.882809,7,6
110229,0.973922,0.941933,3,2
110230,0.924761,0.944322,3,0
110233,1.187719,1.065833,0,3
120001,0.963533,0.95936,2,0
120002,0.869075,0.9105,5,0
120005,0.893975,0.897965,6,0
120006,0.922596,0.909225,5,1
120007,0.99218,1.007147,0,0
120011,0.849449,0.894119,6,0
120014,0.902596,0.922798,5,0
120019,0.916758,0.851767,9,9
120022,0.9741,1.002452,0,0
120026,0.918794,0.936354,4,0
120028,0.90813,0.868799,8,6
130002,0.922539,0.949161,3,0
130003,0.995981,0.982099,1,0
130006,0.932097,0.934958,4,0
130007,0.973871,1.04071,0,0
130013,0.922834,0.95523,3,0
130014,0.928701,0.882658,7,5
130018,1.000298,0.976592,1,1
130025,0.989846,0.996031,0,0
130028,0.997739,0.981613,1,1
130065,0.990163,1.025707,0,0
130071,0.916854,0.923552,5,0
130074,Not Available,0.970926,2,n/a
140001,0.899924,0.951051,3,0
140002,0.9382,0.936378,4,0
140007,1.104646,1.094605,0,0
140008,1.006496,0.991459,0,0
140011,0.968977,0.995764,0,0
140012,0.889279,0.939088,4,0
140013,0.909421,0.915109,5,0
140015,0.958359,0.977554,1,0
140018,0.995184,0.927145,4,4
140029,1.058029,1.056207,0,0
140030,1.025635,1.00606,0,1
140032,0.970581,0.960582,2,0
140034,0.948827,0.972269,1,0
140043,0.980824,0.99535,0,0
140046,1.019371,1.029593,0,0
140048,0.956322,0.983723,1,0
140049,1.02447,0.997069,0,1
140052,0.943082,0.898157,6,4
140053,1.028475,1.041967,0,0
140054,1.000718,0.966161,2,2
140059,1.142717,1.016397,0,4
140062,1.010293,0.989146,0,1
140063,0.907215,0.934562,4,0
140064,1.012043,1.02461,0,0
140065,1.04972,0.994208,0,2
140067,0.973351,0.97239,1,0
140080,1.064376,1.060164,0,0
140082,1.161858,1.160404,0,0
140084,1.042941,1.020981,0,1
140088,1.027037,1.001908,0,1
140089,0.976623,1.039025,0,0
140091,0.963747,1.006373,0,0
140093,1.020405,1.026788,0,0
140100,1.162432,1.061928,0,3
140101,1.033342,1.015181,0,0
140103,1.022383,1.000046,0,1
140110,0.963413,0.985113,1,0
140113,1.007894,0.968788,2,2
140115,1.009157,1.047823,0,0
140116,1.011661,1.034998,0,0
140117,1.154142,1.077226,0,2
140119,0.960043,0.937949,4,1
140120,0.919254,0.905377,6,1
140122,1.055919,1.012398,0,2
140124,0.928892,0.900522,6,3
140125,0.975157,0.879982,7,7
140127,0.954777,0.993679,0,0
140130,0.95118,0.948644,3,0
140133,1.05915,1.016598,0,1
140135,0.993723,0.973119,1,1
140145,0.908922,0.869785,8,6
140147,0.929752,1.053402,0,0
140148,0.992605,1.023129,0,0
140150,1.03816,1.063217,0,0
140155,0.966715,0.96812,2,0
140160,1.019288,1.026652,0,0
140161,0.943262,0.952793,3,0
140162,0.923946,0.92596,4,0
140164,1.064846,1.054867,0,0
140166,0.976157,0.988741,0,0
140172,1.025396,0.984886,1,2
140174,0.988836,0.95979,2,2
140179,1.018972,0.991193,0,1
140182,1.013319,1.001301,0,0
140184,0.963603,0.947317,3,1
140185,0.969328,0.962938,2,0
140186,1.036456,1.049942,0,0
140187,0.980251,0.965623,2,1
140189,0.954913,0.947043,3,0
140200,0.99787,0.994862,0,0
140202,0.977806,0.968076,2,0
140206,1.060111,1.090032,0,0
140208,1.020905,0.989674,0,1
140209,0.948567,0.974186,1,0
140211,1.044873,1.03798,0,0
140213,0.999016,0.999594,0,0
140217,1.076969,1.145976,0,0
140223,1.024504,1.035192,0,0
140224,0.980515,0.976485,1,0
140231,0.992118,1.006207,0,0
140233,1.06228,1.026478,0,1
140234,0.989901,0.979046,1,0
140239,1.014026,1.026852,0,0
140242,1.019569,0.999357,0,1
140251,1.103819,1.110627,0,0
140252,1.053727,1.014578,0,1
140258,1.086704,1.075498,0,0
140275,0.900447,0.960941,2,0
140276,0.975652,0.994111,0,0
140280,0.934457,0.979547,1,0
140281,0.987583,0.992835,0,0
