Facility ID,Measure Name,Number of Discharges,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate
30022,READM-30-HF-HRRP,N/A,1.0082,24.7915,24.5897
30022,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30022,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30022,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30022,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30023,READM-30-HIP-KNEE-HRRP,N/A,1.0316,4.4444,4.3082
30023,READM-30-HF-HRRP,260,0.8799,17.7675,20.1916
30023,READM-30-COPD-HRRP,71,1.0151,18.1077,17.8389
30023,READM-30-AMI-HRRP,175,0.9383,12.7301,13.567
30023,READM-30-PN-HRRP,202,0.932,14.9031,15.9905
30023,READM-30-CABG-HRRP,85,1.1219,12.2518,10.921
30024,READM-30-PN-HRRP,275,0.9938,17.2614,17.369
30024,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30024,READM-30-HF-HRRP,190,0.9431,20.4409,21.6742
30024,READM-30-COPD-HRRP,100,0.9507,18.9792,19.9627
30024,READM-30-CABG-HRRP,N/A,0.9593,11.8004,12.3013
30024,READM-30-AMI-HRRP,123,1.0521,15.7089,14.9305
30030,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30030,READM-30-HF-HRRP,63,1.0162,23.6468,23.2709
30030,READM-30-COPD-HRRP,N/A,0.9973,18.9132,18.9653
30030,READM-30-AMI-HRRP,N/A,0.9643,12.9005,13.3784
30030,READM-30-PN-HRRP,99,0.9515,15.8336,16.6404
30030,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30036,READM-30-HIP-KNEE-HRRP,N/A,1.1075,5.0603,4.5691
30036,READM-30-COPD-HRRP,235,0.9713,18.4084,18.9528
30036,READM-30-HF-HRRP,472,0.9687,20.9942,21.6716
30036,READM-30-PN-HRRP,746,0.9106,15.8094,17.3624
30036,READM-30-AMI-HRRP,295,1,14.9161,14.9168
30036,READM-30-CABG-HRRP,127,1.0115,11.6095,11.4777
30037,READM-30-HIP-KNEE-HRRP,N/A,1.0851,4.1166,3.7936
30037,READM-30-HF-HRRP,N/A,0.9526,18.1316,19.0335
30037,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30037,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30037,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30037,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30038,READM-30-HF-HRRP,261,1.0714,20.8903,19.4977
30038,READM-30-HIP-KNEE-HRRP,N/A,0.9422,3.8671,4.1042
30038,READM-30-COPD-HRRP,106,1.0737,18.5009,17.2308
30038,READM-30-PN-HRRP,330,0.9039,14.6605,16.22
30038,READM-30-AMI-HRRP,N/A,0.9541,12.1467,12.7309
30038,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30043,READM-30-PN-HRRP,250,0.9178,13.6595,14.8826
30043,READM-30-HIP-KNEE-HRRP,N/A,1.035,4.4527,4.3022
30043,READM-30-COPD-HRRP,107,1.0245,17.9021,17.4746
30043,READM-30-HF-HRRP,174,1.0322,20.0819,19.4557
30043,READM-30-AMI-HRRP,105,1.0237,13.1307,12.8271
30043,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30055,READM-30-HF-HRRP,276,0.9993,21.0322,21.0479
30055,READM-30-COPD-HRRP,N/A,0.9284,15.9026,17.1292
30055,READM-30-HIP-KNEE-HRRP,N/A,1.1432,4.9984,4.3724
30055,READM-30-PN-HRRP,369,0.9845,16.3007,16.5569
30055,READM-30-CABG-HRRP,N/A,0.9416,11.1131,11.8028
30055,READM-30-AMI-HRRP,157,0.8784,12.5379,14.2736
30061,READM-30-HIP-KNEE-HRRP,N/A,0.8971,4.3089,4.8034
30061,READM-30-HF-HRRP,562,1.0193,21.4841,21.0771
30061,READM-30-COPD-HRRP,185,0.9996,17.3146,17.322
30061,READM-30-PN-HRRP,846,0.9943,17.3084,17.4079
30061,READM-30-AMI-HRRP,236,1.0229,14.7484,14.4176
30061,READM-30-CABG-HRRP,171,1.0076,11.5966,11.5097
30062,READM-30-PN-HRRP,177,0.921,13.4936,14.6512
30062,READM-30-HIP-KNEE-HRRP,N/A,0.8914,3.5821,4.0184
30062,READM-30-HF-HRRP,147,0.9445,18.1297,19.196
30062,READM-30-COPD-HRRP,N/A,0.9573,13.9291,14.5511
30062,READM-30-AMI-HRRP,N/A,0.972,10.9226,11.2369
30062,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30064,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30064,READM-30-PN-HRRP,273,0.9252,16.7886,18.1456
30064,READM-30-HF-HRRP,245,0.9597,21.5295,22.4347
30064,READM-30-COPD-HRRP,58,1.0145,20.4169,20.1246
30064,READM-30-AMI-HRRP,114,0.9598,14.1772,14.7706
30064,READM-30-CABG-HRRP,N/A,0.9097,10.6719,11.7315
30065,READM-30-HIP-KNEE-HRRP,N/A,0.8858,4.6451,5.2437
30065,READM-30-COPD-HRRP,171,1.011,19.3829,19.1721
30065,READM-30-AMI-HRRP,183,1.0118,12.7852,12.6358
30065,READM-30-PN-HRRP,553,1.0812,17.9321,16.5861
30065,READM-30-HF-HRRP,354,0.97,19.1999,19.7932
30065,READM-30-CABG-HRRP,N/A,0.906,9.351,10.3209
30069,READM-30-PN-HRRP,315,0.9788,15.4174,15.7509
30069,READM-30-HIP-KNEE-HRRP,N/A,1.0342,4.6888,4.534
30069,READM-30-AMI-HRRP,251,1.0451,13.0407,12.4776
30069,READM-30-COPD-HRRP,177,0.9743,18.0924,18.5689
30069,READM-30-HF-HRRP,345,1.0572,20.9769,19.8414
30069,READM-30-CABG-HRRP,91,1.1808,14.5266,12.3019
30071,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30071,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30071,READM-30-AMI-HRRP,0,N/A,N/A,N/A
30071,READM-30-PN-HRRP,93,1.0138,12.95,12.7742
30071,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30071,READM-30-HF-HRRP,N/A,0.9661,17.7659,18.3887
30073,READM-30-HIP-KNEE-HRRP,N/A,1.038,3.4303,3.3047
30073,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30073,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30073,READM-30-AMI-HRRP,0,N/A,N/A,N/A
30073,READM-30-PN-HRRP,134,1.0383,13.6887,13.1832
30073,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30074,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30074,READM-30-HF-HRRP,0,N/A,N/A,N/A
30074,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30074,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30074,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30074,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-AMI-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30077,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30078,READM-30-COPD-HRRP,N/A,N/A,N/A,N/A
30078,READM-30-PN-HRRP,N/A,N/A,N/A,N/A
30078,READM-30-HIP-KNEE-HRRP,N/A,N/A,N/A,N/A
30078,READM-30-HF-HRRP,N/A,N/A,N/A,N/A
30078,READM-30-AMI-HRRP,0,N/A,N/A,N/A
30078,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
30083,READM-30-HIP-KNEE-HRRP,317,1.2405,4.2097,3.3936
30083,READM-30-HF-HRRP,65,0.9913,19.3273,19.4961
30083,READM-30-COPD-HRRP,N/A,0.9921,18.5717,18.72
30083,READM-30-AMI-HRRP,N/A,0.9878,12.0829,12.2322
30083,READM-30-PN-HRRP,121,1.1408,17.5477,15.3826
30083,READM-30-CABG-HRRP,N/A,N/A,N/A,N/A
